"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.733238875E0,-9.303862229E-3,-1.030417997E-2,2.284643799E-2
3.743262875E0,-8.093539509E-4,-1.714931685E-3,2.504940890E-2
3.753272875E0,2.572458179E-4,7.887263782E-3,2.287942544E-2
3.763264875E0,-6.624622620E-4,1.437989064E-3,1.114852447E-2
3.773288875E0,-1.009455696E-2,-1.865796396E-3,-3.911803011E-3
3.783298875E0,-2.275286429E-2,-1.051092707E-2,-1.578164659E-2
3.793320875E0,-1.844910532E-2,-9.432491846E-3,-1.893670671E-2
3.803315875E0,-3.583638696E-3,-1.039516367E-2,-1.126365457E-2
3.813325875E0,1.119850110E-2,-1.133179851E-2,3.886536229E-3
3.823316875E0,1.737242565E-2,-5.632683751E-4,2.207260393E-2
