"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.432127000E0,5.435746629E-3,3.231239691E-2,-1.293601189E-2
2.442136000E0,1.084578875E-2,1.419167127E-2,-1.491258666E-2
2.452146000E0,9.732854553E-3,1.313386764E-2,-1.064806711E-2
2.462154000E0,2.196813934E-3,1.951240003E-2,-6.500955205E-3
2.472132000E0,-7.443645038E-3,2.267139032E-2,-4.504549783E-3
2.482142000E0,-8.585684001E-3,3.761712834E-2,-1.390051446E-3
2.492149000E0,-9.723918512E-3,6.109209731E-2,-4.526187840E-4
2.502157000E0,-7.598388940E-3,6.110718474E-2,6.438817363E-4
2.512167000E0,1.127991825E-3,3.017163649E-2,-8.706742898E-3
2.522176000E0,2.336978680E-3,1.200615522E-2,-1.714625582E-2
2.532211000E0,6.606225856E-3,5.629651248E-3,-1.599280350E-2
2.542221000E0,2.466591820E-2,3.620296484E-3,-7.205703761E-3
2.552202000E0,2.352445573E-2,1.216694713E-2,-2.990528243E-3
2.562241000E0,8.557382971E-3,1.955854893E-2,-3.216966055E-3
2.572251000E0,7.408495527E-3,1.851192117E-2,4.252135288E-3
2.582228000E0,1.367082261E-2,1.965715922E-2,1.714971103E-2
2.592239000E0,1.472703274E-2,2.392416820E-2,1.816632412E-2
2.602249000E0,1.373527106E-2,1.749716327E-2,1.284372993E-2
2.612286000E0,1.590388641E-2,8.967589587E-3,1.184531022E-2
2.622275000E0,1.693421230E-2,-9.141249582E-3,1.942518540E-2
2.632285000E0,1.800054312E-2,-2.299714647E-2,2.271259204E-2
2.642312000E0,7.340509444E-3,-1.452666800E-2,1.932789944E-2
2.652297000E0,-1.347526559E-4,1.429983182E-3,1.594913192E-2
2.662307000E0,-2.248771023E-3,1.207517181E-2,1.159592811E-2
2.672339000E0,-2.178197261E-3,1.738471538E-2,4.091939423E-3
2.682327000E0,2.198003232E-3,1.950862072E-2,-5.480620079E-3
2.692337000E0,4.375936463E-3,3.123584948E-2,-1.192120928E-2
2.702364000E0,-1.945850323E-3,3.650851548E-2,-2.057601511E-2
2.712356000E0,-9.315005504E-3,3.323843330E-2,-2.920120955E-2
2.722366000E0,-1.246872079E-2,2.787482738E-2,-3.241990507E-2
2.732391000E0,-9.390538558E-3,2.899604850E-2,-2.170193754E-2
2.742381000E0,4.161627658E-5,2.163593471E-2,-4.449495114E-3
2.752391000E0,1.165037137E-2,1.635110378E-2,7.414334919E-3
2.762388000E0,7.322011050E-3,2.487673238E-2,1.052443311E-2
2.772415000E0,-2.240300179E-3,1.628182270E-2,8.310409263E-3
