"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.945559375E0,1.825999916E-1,6.974999905E-1,-3.359999880E-2
1.955484375E0,1.180000007E-1,8.233999610E-1,-1.096000001E-1
1.965410937E0,-1.979999989E-2,9.994999766E-1,-1.732999980E-1
1.975337500E0,7.400000002E-3,1.078799963E0,-2.040999979E-1
1.985262500E0,-2.699999837E-3,1.198699951E0,-1.648999900E-1
1.995189062E0,-4.719999805E-2,1.339299917E0,1.748999953E-1
2.005117187E0,-9.739999473E-2,1.405300021E0,2.996000051E-1
2.015043750E0,-6.379999965E-2,1.384199977E0,1.832000017E-1
2.024970312E0,4.089999944E-2,1.420199990E0,3.728999794E-1
2.034895312E0,6.169999763E-2,1.436299920E0,5.551999807E-1
2.044821875E0,-4.299999680E-3,1.435099959E0,6.961999536E-1
2.054746875E0,-4.979999736E-2,1.425099969E0,6.105999947E-1
2.064673437E0,3.499999875E-3,1.189800024E0,2.610000074E-1
2.074600000E0,5.339999869E-2,1.004699945E0,6.740000099E-2
2.084526562E0,9.600000083E-2,8.736000061E-1,-1.261999905E-1
2.094453125E0,6.689999998E-2,7.621999979E-1,-1.123999953E-1
2.104379687E0,8.559999615E-2,5.974000096E-1,-1.506000012E-1
2.114304687E0,8.729999512E-2,3.664999902E-1,-1.958999932E-1
2.124231250E0,6.610000134E-2,2.527000010E-1,-2.454999983E-1
2.134157812E0,-1.159999985E-2,1.297999918E-1,-3.298999965E-1
2.144084375E0,-7.100000046E-3,1.750000007E-2,-2.946999967E-1
2.154012500E0,-1.203999966E-1,-5.999999703E-4,-4.189999774E-2
2.163937500E0,-1.807999909E-1,7.189999521E-2,5.077999830E-1
2.173862500E0,-2.463999987E-1,9.529999644E-2,6.527000070E-1
2.183789062E0,-5.849999934E-2,1.329999976E-2,2.642999887E-1
2.193715625E0,8.240000159E-2,4.479999840E-2,-1.730999947E-1
2.203642187E0,-1.389999967E-2,1.286000013E-1,-3.111000061E-1
2.213568750E0,9.499999695E-3,1.096999943E-1,-2.030999959E-1
2.223495312E0,-1.354999989E-1,1.155999973E-1,-1.329999976E-2
2.233421875E0,-1.455999911E-1,3.289999813E-2,1.533000022E-1
2.243346875E0,-1.480000000E-2,1.245999932E-1,1.266999990E-1
