"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.464131250E0,5.312542319E-1,9.721991539E0,6.890512705E-1
1.469095312E0,5.982535481E-1,9.712413788E0,7.177625299E-1
1.474057812E0,4.929757118E-1,9.690885544E0,9.905482531E-1
1.479021875E0,5.001487136E-1,9.686098099E0,9.498660564E-1
1.483984375E0,3.948709071E-1,9.726778984E0,1.045586228E0
1.488946875E0,3.350445926E-1,9.671741486E0,1.141296744E0
1.493910937E0,2.106227130E-1,9.693280220E0,1.191546321E0
1.498873437E0,7.663360238E-2,9.760279655E0,1.170008063E0
1.503837500E0,2.159569971E-2,9.710029602E0,1.062336087E0
1.508800000E0,-7.115567569E-3,9.738740921E0,1.081470490E0
1.513764062E0,-5.258624628E-2,9.721991539E0,1.081470490E0
1.518726562E0,5.746084207E-5,9.674136162E0,1.071903229E0
1.523689062E0,1.202846877E-2,9.650202751E0,1.028836250E0
1.528653125E0,8.380663395E-2,9.614309311E0,9.402987957E-1
1.533615625E0,5.030696467E-2,9.602347374E0,1.012086511E0
1.538579687E0,1.053352952E-1,9.643030167E0,9.618370533E-1
1.543542187E0,1.202846877E-2,9.647809982E0,1.074297428E0
1.548506250E0,-1.387200505E-1,9.664558411E0,1.038403511E0
1.553468750E0,-2.033347636E-1,9.643030167E0,1.024047971E0
1.558432812E0,-2.703245282E-1,9.628664970E0,9.857599139E-1
1.563395312E0,-2.583630979E-1,9.662164688E0,8.996165395E-1
1.568357812E0,-2.679399252E-1,9.657385826E0,7.393007874E-1
1.573321875E0,-3.181893826E-1,9.602347374E0,6.172634959E-1
1.578284375E0,-3.780061305E-1,9.616703987E0,4.760918021E-1
1.583248437E0,-4.115057886E-1,9.623887062E0,3.636313379E-1
1.588210937E0,-4.689379334E-1,9.619097710E0,4.952358305E-1
1.593173437E0,-4.354382753E-1,9.666953087E0,5.765908360E-1
1.598137500E0,-4.139000177E-1,9.666953087E0,7.058010697E-1
1.603100000E0,-3.492948711E-1,9.705241203E0,8.110885024E-1
1.608062500E0,-3.732177317E-1,9.707635880E0,8.756936789E-1
1.613026562E0,-2.966511548E-1,9.705241203E0,1.038403511E0
1.617989062E0,-1.746139228E-1,9.726778984E0,9.953366518E-1
1.622953125E0,-2.386540174E-2,9.705241203E0,8.996165395E-1
1.627915625E0,9.338344634E-2,9.750701904E0,8.924434781E-1
1.632879687E0,1.436233670E-1,9.698058128E0,9.355103970E-1
1.637842187E0,2.082285136E-1,9.688490868E0,9.474717975E-1
1.642804687E0,2.824008763E-1,9.676529884E0,9.666158557E-1
1.647768750E0,3.063333035E-1,9.688490868E0,1.002509713E0
1.652732812E0,4.570818543E-1,9.645415306E0,9.570485950E-1
1.657695312E0,5.168985724E-1,9.681308746E0,9.450871348E-1
1.662659375E0,4.929757118E-1,9.650202751E0,9.331161380E-1
1.667621875E0,5.312542319E-1,9.635848045E0,9.905482531E-1
