"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.611488458E0,-7.415657165E-4,-2.464562468E-2,-1.333336346E-3
1.621485458E0,-2.926780144E-3,-1.611274667E-2,7.344494225E-4
1.631505458E0,-8.431759779E-4,2.038987819E-3,6.718483637E-4
1.641515458E0,-4.059258383E-3,1.908434182E-2,-2.658494050E-3
1.651507458E0,-9.520765394E-3,2.762267552E-2,5.774259567E-3
1.661533458E0,-2.140785800E-3,2.875452675E-2,1.333508082E-2
1.671543458E0,2.678172849E-2,2.780820616E-2,5.164026748E-3
1.681529458E0,2.022949792E-2,2.675687894E-2,1.897728071E-2
1.691560458E0,3.213470103E-3,4.259046167E-3,1.887709089E-2
1.701570458E0,-5.257245619E-3,-9.669553488E-3,1.563309319E-2
1.711564458E0,1.141278073E-3,-9.631678462E-3,1.678852737E-2
1.721557458E0,1.075879857E-2,-3.185743000E-3,1.474087778E-2
1.731567458E0,1.288088318E-2,1.282540895E-2,1.254795026E-2
1.741594458E0,1.823665947E-2,1.818267070E-2,1.044893358E-2
1.751584458E0,2.681876533E-2,8.620229550E-3,9.537746198E-3
1.761594458E0,1.515704859E-2,4.267831333E-3,3.000485012E-3
1.771635458E0,-7.802265463E-4,-1.169742318E-3,-2.512605162E-3
1.781642458E0,-1.752298791E-3,-1.720140316E-2,-7.780643180E-3
1.791652458E0,3.642909462E-3,-2.252462879E-2,-1.195174735E-2
1.801662458E0,1.578082680E-3,-2.362575196E-2,-1.837742329E-2
1.811666458E0,5.889442284E-3,-3.641295806E-2,-1.932594925E-2
1.821676458E0,1.121708006E-2,-3.425131366E-2,-1.926903799E-2
1.831690458E0,1.014137454E-2,-3.212265298E-2,-1.929933764E-2
1.841699458E0,5.835210439E-3,-3.213359043E-2,-1.615206152E-2
1.851709458E0,2.620244166E-3,-3.214664012E-2,-1.512461249E-2
1.861687458E0,5.828306079E-3,-2.466728352E-2,-1.725693233E-2
1.871726458E0,1.229346637E-2,-9.723462164E-3,-2.579725906E-2
1.881736458E0,3.639581380E-3,-1.293224189E-2,-1.521191001E-2
1.891744458E0,1.425564941E-2,-2.352168038E-2,-7.547493093E-3
1.901723458E0,2.164506540E-2,-1.599460281E-2,-2.146817045E-3
1.911733458E0,2.797113732E-2,-3.140588757E-3,2.143535297E-3
1.921772458E0,3.223733604E-2,-1.164787542E-2,4.378725309E-3
1.931750458E0,3.120443411E-2,-2.765577659E-2,5.517996382E-3
1.941760458E0,2.694894560E-2,-4.047543928E-2,7.669793442E-3
1.951770458E0,2.486731298E-2,-4.050076008E-2,3.374060150E-3
1.961782458E0,1.745142229E-2,-2.882717736E-2,-4.253041930E-3
