"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.647750000E0,-6.999999750E-4,6.069999933E-1,-9.699999355E-3
1.657676563E0,3.159999847E-2,5.504999757E-1,-5.590000004E-2
1.667603125E0,-4.299999680E-3,5.679999590E-1,3.509999812E-2
1.677529688E0,1.224999949E-1,4.990999997E-1,1.339000016E-1
1.687454688E0,1.252999902E-1,5.220000148E-1,3.270999789E-1
1.697381250E0,2.950000018E-2,5.245000124E-1,6.310999990E-1
1.707307813E0,-6.599999964E-3,5.453000069E-1,5.730999708E-1
1.717234375E0,-5.829999968E-2,5.018999577E-1,4.629999995E-1
1.727160938E0,-1.044999957E-1,4.100999832E-1,2.457999885E-1
1.737087500E0,-9.690000117E-2,5.633000135E-1,8.599999361E-3
1.747012500E0,-2.050999999E-1,4.760999978E-1,-7.259999961E-2
1.756939063E0,-3.303999901E-1,4.608999789E-1,-1.599999964E-1
1.766865625E0,-4.511999786E-1,5.507000089E-1,-1.817999929E-1
1.776792188E0,-3.868999779E-1,6.488999724E-1,-2.383999974E-1
1.786718750E0,-2.166000009E-1,6.157000065E-1,-1.706999987E-1
1.796643750E0,-1.422999948E-1,5.654999614E-1,-4.600000009E-2
1.806571875E0,-4.949999973E-2,5.437999964E-1,4.900000058E-3
1.816496875E0,1.179999951E-2,5.489000082E-1,8.100000024E-2
1.826423438E0,8.720000088E-2,5.291000009E-1,2.458999902E-1
1.836350000E0,2.284999937E-1,4.048999846E-1,3.763999939E-1
1.846276563E0,3.458999991E-1,3.795999885E-1,4.456000030E-1
1.856203125E0,4.228999913E-1,3.841999769E-1,2.908999920E-1
1.866128125E0,5.688999891E-1,3.179000020E-1,7.459999621E-2
1.876054688E0,5.299000144E-1,8.119999617E-2,-1.109999940E-1
1.885981250E0,3.384999931E-1,1.597999930E-1,-1.279999968E-2
1.895907813E0,1.582999974E-1,3.193999827E-1,1.796000004E-1
1.905834375E0,-1.779999956E-2,3.233999908E-1,1.704999954E-1
1.915759375E0,-6.619999558E-2,3.208000064E-1,1.880999953E-1
1.925685938E0,-2.953999937E-1,5.691999793E-1,4.639999941E-2
1.935614063E0,-5.180999637E-1,7.195000052E-1,-1.158000007E-1
1.945540625E0,-4.601999819E-1,7.148000002E-1,-2.197999954E-1
1.955467188E0,-3.813000023E-1,6.994000077E-1,-2.802000046E-1
1.965392188E0,-3.474999964E-1,6.917999983E-1,-3.835999966E-1
1.975317188E0,-3.646999896E-1,6.779999733E-1,-4.588999748E-1
1.985243750E0,-2.538999915E-1,5.296999812E-1,-4.391999841E-1
1.995171875E0,-1.469999999E-1,4.077999890E-1,-2.041999996E-1
2.005098438E0,-2.089999989E-2,3.384000063E-1,2.339999937E-2
2.015025000E0,1.105000004E-1,2.213999927E-1,3.312000036E-1
2.024950000E0,1.727999896E-1,1.621999890E-1,3.703999817E-1
2.034876563E0,2.017999887E-1,9.609999508E-2,2.906000018E-1
2.044801563E0,1.400000006E-1,3.669999912E-2,4.165999889E-1
2.054728125E0,-9.699999355E-3,8.929999918E-2,6.232999563E-1
2.064654688E0,-4.710000008E-2,1.787000000E-1,6.714999676E-1
2.074581250E0,3.489999846E-2,1.595000029E-1,3.804000020E-1
2.084507813E0,1.177999973E-1,9.309999645E-2,-4.889999703E-2
2.094434375E0,2.465000004E-1,1.131999940E-1,-3.436999917E-1
2.104359375E0,2.259999961E-1,9.699999541E-2,-5.146999955E-1
2.114287500E0,1.035999954E-1,6.109999865E-2,-4.453999996E-1
2.124214063E0,-1.096000001E-1,1.809999943E-1,-2.242999971E-1
2.134139063E0,-1.162999943E-1,1.979999989E-1,6.269999593E-2
2.144067188E0,-2.359999903E-2,2.228999883E-1,1.254999936E-1
2.153992188E0,6.700000167E-2,2.219999880E-1,3.999999899E-4
2.163918750E0,2.284999937E-1,3.109999895E-1,3.399999812E-3
2.173845313E0,1.513999999E-1,2.124999911E-1,-2.850000001E-2
2.183771875E0,1.234999970E-1,3.006999791E-1,1.545999944E-1
2.193698438E0,8.569999784E-2,3.595999777E-1,4.869999886E-1
2.203623438E0,1.819999889E-2,4.321999848E-1,6.517999768E-1
2.213550000E0,2.449999936E-2,4.196999967E-1,4.758999944E-1
2.223476563E0,1.440999955E-1,3.925999999E-1,1.001999974E-1
2.233403125E0,1.539999992E-1,2.754999995E-1,-1.917999983E-1
2.243329688E0,7.869999856E-2,2.708999813E-1,-2.036999911E-1
2.253256250E0,1.326999962E-1,1.981000006E-1,-3.533999920E-1
2.263182813E0,1.513999999E-1,2.453999966E-1,-1.951999962E-1
2.273109375E0,1.123999953E-1,2.094999999E-1,1.142999977E-1
2.283034375E0,3.709999844E-2,2.770999968E-1,4.222999811E-1
2.292960938E0,-1.070000008E-1,2.818999887E-1,4.948000014E-1
2.302887500E0,-1.536999941E-1,3.193999827E-1,2.122999877E-1
2.312814063E0,-1.750999987E-1,2.791999876E-1,-1.433999985E-1
2.322739063E0,-1.694999933E-1,4.016000032E-1,-2.712000012E-1
2.332667188E0,-1.586999893E-1,3.958999813E-1,-1.851999909E-1
2.342593750E0,-1.515000015E-1,3.161000013E-1,-1.325999945E-1
2.352518750E0,-1.934999973E-1,3.594000041E-1,-7.119999826E-2
2.362445313E0,-2.522999942E-1,4.122000039E-1,-5.899999756E-3
2.372370313E0,-2.563000023E-1,3.743000031E-1,7.310000062E-2
2.382298438E0,-1.034999937E-1,3.015999794E-1,-1.011999995E-1
2.392225000E0,5.299999937E-2,1.873999983E-1,-1.850000024E-1
2.402150000E0,7.609999925E-2,1.348000020E-1,-6.199999899E-2
2.412078125E0,1.615999937E-1,1.624999940E-1,1.243999973E-1
2.422003125E0,1.847999990E-1,1.180000007E-1,1.140000001E-1
2.431929688E0,2.960000038E-1,-2.359999903E-2,-7.789999992E-2
2.441854688E0,1.717000008E-1,3.489999846E-2,-9.669999778E-2
2.451781250E0,3.299999982E-2,1.272999942E-1,1.275999993E-1
2.461709375E0,-9.809999913E-2,1.797000021E-1,2.267999947E-1
2.471635938E0,-1.788000017E-1,2.351000011E-1,2.739999890E-1
2.481560938E0,-1.017000005E-1,3.215000033E-1,7.849999517E-2
2.491487500E0,-6.030000001E-2,3.100000024E-1,-6.499999668E-3
2.501414063E0,-1.017999947E-1,3.256999850E-1,1.057999954E-1
2.511339063E0,-1.375000030E-1,3.506999910E-1,1.743000001E-1
2.521265625E0,-1.202999949E-1,4.346999824E-1,2.516999841E-1
2.531192188E0,-1.188999936E-1,4.299999774E-1,4.199999943E-2
2.541118750E0,-7.100000046E-3,4.034000039E-1,-6.669999659E-2
2.551045313E0,7.599999662E-3,4.078999758E-1,-1.455999911E-1
2.560971875E0,6.000000052E-3,3.507999778E-1,-9.030000120E-2
2.570896875E0,4.099999741E-2,3.134999871E-1,7.009999454E-2
2.580823438E0,4.820000008E-2,4.013999999E-1,2.013999969E-1
2.590750000E0,1.262999922E-1,3.465999961E-1,2.317999899E-1
2.600676563E0,8.679999411E-2,3.321000040E-1,9.089999646E-2
2.610603125E0,-6.359999627E-2,3.191999793E-1,7.289999723E-2
2.620529688E0,-1.067999974E-1,3.070999980E-1,-1.363999993E-1
2.630456250E0,-5.299999937E-2,2.520000041E-1,-1.140000001E-1
2.640382813E0,8.509999514E-2,2.106999904E-1,-1.766999960E-1
2.650307813E0,2.361999899E-1,1.321000010E-1,-1.275999993E-1
2.660234375E0,2.760999799E-1,5.900000036E-2,1.595999897E-1
2.670160938E0,2.566999793E-1,1.604999900E-1,2.046999931E-1
2.680087500E0,9.359999746E-2,2.574000061E-1,2.897999883E-1
2.690014063E0,-9.149999917E-2,3.395999968E-1,2.263000011E-1
2.699940625E0,-2.743999958E-1,3.418999910E-1,8.439999819E-2
2.709867188E0,-3.181999922E-1,4.495999813E-1,-5.359999835E-2
2.719792188E0,-3.495999873E-1,5.302999616E-1,-2.307999879E-1
2.729718750E0,-2.976999879E-1,4.881999791E-1,-2.838999927E-1
2.739645313E0,-2.390999943E-1,4.323000014E-1,-4.062999785E-1
2.749571875E0,-4.969999939E-2,3.304999769E-1,-2.233999968E-1
2.759498438E0,1.950999945E-1,2.804999948E-1,-3.500000015E-2
2.769425000E0,2.718999982E-1,3.136000037E-1,1.563999951E-1
2.779350000E0,3.739999831E-1,2.151999921E-1,3.795000017E-1
2.789276563E0,3.443999887E-1,1.697999984E-1,5.397999883E-1
2.799203125E0,2.863000035E-1,2.267999947E-1,6.681999564E-1
2.809129688E0,2.470999956E-1,2.437999994E-1,5.460999608E-1
2.819056250E0,2.239999920E-1,3.058999777E-1,4.247999787E-1
