"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.017428125E0,1.757022887E-1,-3.569896519E-1,1.055226028E-1
1.022392188E0,1.757022887E-1,-3.569896519E-1,1.055226028E-1
1.027356250E0,1.454382837E-1,-3.089232743E-1,1.092750654E-1
1.032318750E0,1.454382837E-1,-3.089232743E-1,1.092750654E-1
1.037282813E0,1.191710830E-1,-2.750639021E-1,1.191710830E-1
1.042243750E0,1.191710830E-1,-2.750639021E-1,1.191710830E-1
1.047207813E0,9.868091345E-2,-2.501056790E-1,1.345997900E-1
1.052170313E0,9.868091345E-2,-2.501056790E-1,1.345997900E-1
1.057132813E0,8.354891092E-2,-2.342406362E-1,1.515294909E-1
1.062096875E0,8.354891092E-2,-2.342406362E-1,1.515294909E-1
1.067059375E0,7.241371274E-2,-2.270149738E-1,1.651081443E-1
1.072023438E0,7.241371274E-2,-2.270149738E-1,1.651081443E-1
1.076985938E0,6.339035928E-2,-2.178345472E-1,1.694365591E-1
1.081950000E0,6.339035928E-2,-2.178345472E-1,1.694365591E-1
1.086914063E0,5.544910952E-2,-1.968905926E-1,1.584933549E-1
1.091875000E0,5.544910952E-2,-1.968905926E-1,1.584933549E-1
1.096839063E0,5.108578876E-2,-1.711993515E-1,1.350884885E-1
1.101801563E0,5.108578876E-2,-1.711993515E-1,1.350884885E-1
1.106765625E0,4.899139330E-2,-1.480562836E-1,1.085594818E-1
1.111728125E0,4.899139330E-2,-1.480562836E-1,1.085594818E-1
1.116692188E0,4.673991725E-2,-1.280024499E-1,8.478809148E-2
1.121654688E0,4.673991725E-2,-1.280024499E-1,8.478809148E-2
1.126617188E0,4.651302472E-2,-1.200088412E-1,6.824237108E-2
1.131581250E0,4.651302472E-2,-1.200088412E-1,6.824237108E-2
1.136545313E0,5.414011329E-2,-1.002168059E-1,5.220279843E-2
1.141507813E0,5.414011329E-2,-1.002168059E-1,5.220279843E-2
1.146470313E0,6.586872786E-2,-8.246680349E-2,7.033676840E-3
1.151434375E0,6.586872786E-2,-8.246680349E-2,7.033676840E-3
1.156396875E0,7.761479169E-2,-4.673991725E-2,-6.066764519E-2
1.161359375E0,7.761479169E-2,-4.673991725E-2,-6.066764519E-2
1.166323438E0,8.461356163E-2,-8.150687441E-3,-1.272519529E-1
1.171287500E0,8.461356163E-2,-8.150687441E-3,-1.272519529E-1
1.176250000E0,7.991862297E-2,2.452187613E-2,-1.629090309E-1
1.181214063E0,7.991862297E-2,2.452187613E-2,-1.629090309E-1
1.186176563E0,6.956882030E-2,6.084217876E-2,-1.766622216E-1
1.191139063E0,6.956882030E-2,6.084217876E-2,-1.766622216E-1
1.196101563E0,5.923647434E-2,7.487462461E-2,-1.820552945E-1
1.201065625E0,5.923647434E-2,7.487462461E-2,-1.820552945E-1
1.206028125E0,5.379104614E-2,6.974335760E-2,-1.800830662E-1
1.210992188E0,5.379104614E-2,6.974335760E-2,-1.800830662E-1
1.215956250E0,3.886848316E-2,8.595746756E-2,-1.696285456E-1
1.220918750E0,3.886848316E-2,8.595746756E-2,-1.696285456E-1
1.225881250E0,1.705186628E-2,1.155757010E-1,-1.564687639E-1
1.230843750E0,1.705186628E-2,1.155757010E-1,-1.564687639E-1
1.235807813E0,-1.902408898E-3,1.344078034E-1,-1.435009688E-1
1.240770313E0,-1.902408898E-3,1.344078034E-1,-1.435009688E-1
1.245732813E0,-1.099557430E-2,1.398008764E-1,-1.307426095E-1
1.250696875E0,-1.099557430E-2,1.398008764E-1,-1.307426095E-1
1.255660938E0,-1.459095255E-2,1.255938858E-1,-1.223999411E-1
1.260623438E0,-1.459095255E-2,1.255938858E-1,-1.223999411E-1
1.265585938E0,-1.574287005E-2,1.148426607E-1,-1.147553995E-1
1.270550000E0,-1.574287005E-2,1.148426607E-1,-1.147553995E-1
1.275512500E0,-1.291543618E-2,1.021541208E-1,-1.068490595E-1
1.280476563E0,-1.291543618E-2,1.021541208E-1,-1.068490595E-1
1.285439063E0,-1.518436428E-2,1.080358773E-1,-1.012989059E-1
1.290401563E0,-1.518436428E-2,1.080358773E-1,-1.012989059E-1
1.295365625E0,-2.097885683E-2,1.119279638E-1,-1.014036313E-1
1.300328125E0,-2.097885683E-2,1.119279638E-1,-1.014036313E-1
1.305292188E0,-2.352703735E-2,1.223301291E-1,-1.056273282E-1
1.310254688E0,-2.352703735E-2,1.223301291E-1,-1.056273282E-1
1.315218750E0,-1.876228862E-2,1.241278127E-1,-1.141968891E-1
