"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.571966000E0,-1.731658354E-2,-3.707492724E-2,3.472477663E-3
2.581952000E0,-1.419796702E-2,-1.783849299E-2,6.620283239E-3
2.591985000E0,-4.703722429E-3,-1.028826740E-2,1.524940040E-2
2.601995000E0,4.863950890E-3,-8.092491888E-3,1.856556721E-2
2.611982000E0,1.557900757E-2,-3.782722866E-3,1.440972462E-2
2.621978000E0,6.054513622E-3,-8.123666048E-3,7.903637365E-3
2.631988000E0,-2.384244930E-3,-2.526110783E-2,2.539232373E-3
2.642004000E0,-6.559099071E-3,-4.343932122E-2,-1.695528394E-3
2.652031000E0,-6.487050559E-3,-4.772623628E-2,-7.013072260E-3
2.662041000E0,-7.510769647E-3,-4.134769738E-2,-1.239958126E-2
2.672030000E0,-6.448892877E-3,-3.503064066E-2,-1.352966484E-2
2.682023000E0,-6.459693890E-3,-3.076177835E-2,-1.355275791E-2
2.692033000E0,2.068280475E-3,-2.538139373E-2,-1.347073074E-2
2.702049000E0,2.010955708E-3,-1.790015213E-2,-1.030662190E-2
2.712076000E0,-2.331593772E-3,-1.790015213E-2,-3.951787017E-3
2.722086000E0,-6.647512782E-3,-1.897473447E-2,2.719861513E-4
2.732068000E0,-9.895915166E-3,-1.151385158E-2,2.328601433E-3
2.742069000E0,-2.505077515E-3,1.345800003E-3,6.630671676E-3
2.752079000E0,4.956568126E-3,1.098538376E-2,5.609615706E-3
2.762103000E0,9.203244932E-3,1.101520844E-2,7.800331805E-3
2.772122000E0,5.973525345E-3,1.207339298E-2,9.890655056E-3
2.782132000E0,7.065154612E-3,2.474824898E-3,9.952173568E-3
2.792109000E0,1.028528716E-2,-4.978075158E-3,1.003004704E-2
2.802145000E0,1.342360396E-2,-3.875428112E-3,1.540746912E-2
2.812155000E0,1.339164656E-2,-6.665860419E-4,1.752787642E-2
2.822161000E0,9.142306633E-3,3.707135911E-4,1.533183455E-2
2.832138000E0,2.786690835E-3,-3.001774894E-3,1.200067345E-2
2.842148000E0,-5.718646105E-3,-3.057702677E-3,8.687434718E-3
2.852185000E0,-1.214718912E-2,-4.150700290E-3,1.074775774E-2
2.862176000E0,-3.649067599E-3,-1.960422611E-3,1.405047532E-2
2.872186000E0,1.234587841E-2,1.328583923E-3,1.530642156E-2
2.882207000E0,1.982483454E-2,-7.665267913E-4,1.541214902E-2
2.892183000E0,1.342705358E-2,-4.001083784E-3,1.534720697E-2
2.902193000E0,1.025869045E-2,-8.293832652E-3,1.319137774E-2
2.912200000E0,1.028896589E-2,-6.170499139E-3,9.978431277E-3
2.922236000E0,1.141766086E-2,-1.151532028E-2,5.748372525E-3
2.932246000E0,3.973325249E-3,-4.099481739E-3,1.343237818E-3
2.942223000E0,-7.772280369E-3,1.170917647E-3,9.900894656E-5
2.952259000E0,-7.785122842E-3,1.174987410E-3,1.164929592E-3
2.962269000E0,1.814506948E-3,1.619245159E-4,2.360688755E-3
2.972276000E0,6.036858074E-3,5.531370174E-3,5.591297057E-3
2.982282000E0,-3.777113743E-4,9.766484611E-3,5.487856921E-3
2.992292000E0,2.835925203E-3,1.511144917E-2,3.365583718E-3
3.002299000E0,2.885194030E-3,1.936132088E-2,-1.996691106E-3
3.012275000E0,-3.446044633E-3,1.170468982E-2,-5.312570371E-3
3.022285000E0,-7.696716115E-3,-1.119495486E-3,-4.234788939E-3
3.032322000E0,-7.642121054E-3,-8.600582369E-3,-7.402086630E-3
3.042298000E0,-8.733702824E-3,-9.665515274E-3,-5.274033640E-3
3.052308000E0,-2.749700216E-4,-5.329887848E-3,1.222481369E-3
3.062314000E0,3.962278832E-3,-8.497564122E-3,4.496580455E-3
3.072321000E0,3.902151715E-3,-1.381074078E-2,1.093194820E-2
3.082331000E0,4.953834694E-3,-1.699907519E-2,1.309789717E-2
3.092338000E0,2.785411896E-3,-1.380124968E-2,1.519077364E-2
3.102344000E0,2.765706973E-3,-1.592788287E-2,1.733736321E-2
3.112354000E0,2.771032276E-3,-1.806213893E-2,1.734801568E-2
3.122390000E0,1.733860234E-3,-2.554118074E-2,1.630304195E-2
3.132367000E0,-2.530269558E-3,-2.343283407E-2,1.516969875E-2
3.142377000E0,7.082677446E-3,-2.018484287E-2,1.420776453E-2
3.152383000E0,1.989356056E-2,-1.694325916E-2,1.537500322E-2
3.162419000E0,1.776685938E-2,-1.055898797E-2,1.318078116E-2
3.172429000E0,7.143510971E-3,-1.276408415E-2,8.782836609E-3
3.182437000E0,-6.629738491E-3,-2.139970288E-2,1.173128141E-3
3.192442000E0,-5.554509349E-3,-2.886008471E-2,2.291139681E-3
3.202452000E0,9.384758770E-3,-2.558040246E-2,2.465310507E-3
3.212460000E0,1.573436148E-2,-1.699843816E-2,5.707113072E-3
3.222436000E0,1.035626978E-2,-1.914552040E-2,9.921324439E-3
3.232446000E0,-1.399988192E-3,-2.880000882E-2,1.302443910E-2
3.242453000E0,-1.413896959E-2,-2.782204747E-2,6.446573418E-3
3.252484000E0,-2.476080693E-2,-2.043028735E-2,-1.352102263E-4
3.262494000E0,-1.832687482E-2,-1.720652916E-2,-3.274278017E-3
3.272476000E0,-1.217133133E-3,-1.392666250E-2,-6.276788656E-3
3.282483000E0,3.091099206E-3,-1.498244423E-2,-9.422458708E-3
3.292493000E0,5.226422567E-3,-1.497125719E-2,-9.395294823E-3
3.302529000E0,5.197986960E-3,-8.564600721E-3,-8.360883221E-3
3.312513000E0,8.305483498E-3,4.219293129E-3,1.018388648E-4
3.322523000E0,1.245362405E-2,1.494277921E-2,8.648455143E-3
3.332552000E0,1.550626289E-2,1.713873632E-2,2.149249986E-2
3.342553000E0,3.146105632E-2,1.724137552E-2,2.703613602E-2
3.352563000E0,3.362434357E-2,2.044276334E-2,2.384274080E-2
3.362575000E0,1.980242319E-2,1.182204019E-2,2.050387859E-2
3.372571000E0,3.885652870E-3,-3.220076440E-3,1.503448095E-2
3.382581000E0,-2.758037008E-4,-8.607915603E-3,6.461232901E-3
3.392598000E0,-2.503605501E-4,-4.350389820E-3,3.235816257E-3
