"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.945559375E0,-4.079999775E-2,-9.959999472E-2,-1.169999968E-2
1.955484375E0,-3.199999919E-3,-2.070000023E-2,8.129999787E-2
1.965410938E0,8.599999361E-3,8.700000122E-3,6.149999797E-2
1.975337500E0,1.689999923E-2,5.799999833E-2,3.189999983E-2
1.985264063E0,5.460000038E-2,1.070000008E-1,-8.590000123E-2
1.995190625E0,5.359999835E-2,1.074999943E-1,1.018999964E-1
2.005117188E0,-6.099999696E-2,1.578999907E-1,1.662999988E-1
2.015043750E0,8.799999952E-3,1.694999933E-1,1.779999882E-1
2.024970313E0,2.300000051E-3,2.099999934E-1,4.059999809E-2
2.034895313E0,-4.349999875E-2,2.215999961E-1,-1.066999957E-1
2.044821875E0,-3.309999779E-2,3.005999923E-1,-2.039999887E-2
2.054748438E0,1.138999984E-1,3.588999808E-1,9.939999878E-2
2.064675000E0,3.199999919E-3,3.774999976E-1,4.010000080E-2
2.074601563E0,-1.519999932E-2,3.867000043E-1,-2.520000003E-2
2.084528125E0,-3.359999880E-2,4.560999870E-1,1.310000010E-2
2.094453125E0,3.509999812E-2,5.751999617E-1,1.608999968E-1
2.104379688E0,4.959999770E-2,5.957999825E-1,1.544999927E-1
2.114306250E0,2.300000051E-3,5.473999977E-1,4.329999909E-2
2.124232813E0,-8.899999410E-2,5.993999839E-1,1.034999937E-1
2.134159375E0,-9.160000086E-2,5.051999688E-1,1.447999924E-1
2.144085938E0,-2.599999867E-2,5.952000022E-1,1.149000004E-1
2.154010938E0,-3.089999966E-2,5.263999701E-1,-3.179999813E-2
2.163937500E0,-5.799999926E-3,4.571999907E-1,-1.359999925E-1
2.173864063E0,6.999999750E-3,4.545999765E-1,-1.184999943E-1
2.183790625E0,-4.930000007E-2,4.025999904E-1,-3.019999899E-2
2.193717188E0,-4.479999840E-2,3.432999849E-1,1.504999995E-1
2.203642188E0,-1.077999994E-1,3.560999930E-1,2.307000011E-1
2.213570313E0,-2.549999952E-2,3.509999812E-1,2.028999925E-1
2.223495313E0,4.759999737E-2,3.252999783E-1,4.429999739E-2
2.233421875E0,1.122999936E-1,2.263999879E-1,-1.977999955E-1
2.243348438E0,7.849999517E-2,2.314999998E-1,-2.485999912E-1
2.253275000E0,2.199999988E-2,1.090999991E-1,-9.099999815E-2
