"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.106784844E1,-5.305801053E-3,-2.820626497E-1,-2.068215236E-2
1.107281094E1,-5.044001620E-3,-2.811376452E-1,-2.022836544E-2
1.107777500E1,-5.044001620E-3,-2.811376452E-1,-2.022836544E-2
1.108273750E1,-4.904375412E-3,-2.812423408E-1,-2.003637888E-2
1.108770000E1,-4.904375412E-3,-2.812423408E-1,-2.003637888E-2
1.109266406E1,-4.834562074E-3,-2.798111737E-1,-1.991420612E-2
1.109762656E1,-4.834562074E-3,-2.798111737E-1,-1.991420612E-2
1.110259063E1,-4.869468510E-3,-2.781182230E-1,-1.932079531E-2
1.110755312E1,-4.869468510E-3,-2.781182230E-1,-1.932079531E-2
1.111251719E1,-5.009094719E-3,-2.768092155E-1,-1.853539608E-2
1.111747969E1,-5.009094719E-3,-2.768092155E-1,-1.853539608E-2
1.112244219E1,-5.096361507E-3,-2.746799290E-1,-1.780235767E-2
1.112740625E1,-5.096361507E-3,-2.746799290E-1,-1.780235767E-2
1.113236875E1,-4.869468510E-3,-2.748020887E-1,-1.757546514E-2
1.113733281E1,-4.869468510E-3,-2.748020887E-1,-1.757546514E-2
1.114229531E1,-4.537856206E-3,-2.768266797E-1,-1.780235767E-2
1.114725938E1,-4.537856206E-3,-2.768266797E-1,-1.780235767E-2
1.115222188E1,-4.345869645E-3,-2.788861692E-1,-1.797689125E-2
1.115718438E1,-4.345869645E-3,-2.788861692E-1,-1.797689125E-2
1.116214844E1,-4.066617228E-3,-2.802824378E-1,-1.816887781E-2
1.116711094E1,-4.066617228E-3,-2.802824378E-1,-1.816887781E-2
1.117207500E1,-3.787364578E-3,-2.818706632E-1,-1.834340952E-2
1.117703750E1,-3.787364578E-3,-2.818706632E-1,-1.834340952E-2
1.118200156E1,-3.560471581E-3,-2.806314826E-1,-1.836086437E-2
1.118696406E1,-3.560471581E-3,-2.806314826E-1,-1.836086437E-2
1.119192656E1,-3.351032268E-3,-2.801253498E-1,-1.844812930E-2
1.119689062E1,-3.351032268E-3,-2.801253498E-1,-1.844812930E-2
1.120185313E1,-3.508111695E-3,-2.815914154E-1,-1.888446324E-2
1.120681719E1,-3.508111695E-3,-2.815914154E-1,-1.888446324E-2
1.121177969E1,-3.735004691E-3,-2.820277512E-1,-1.982693933E-2
1.121674375E1,-3.735004691E-3,-2.820277512E-1,-1.982693933E-2
1.122170625E1,-3.752457909E-3,-2.824815512E-1,-2.118829638E-2
1.122666875E1,-3.752457909E-3,-2.824815512E-1,-2.118829638E-2
1.123163281E1,-3.595378250E-3,-2.833891213E-1,-2.268928103E-2
1.123659531E1,-3.595378250E-3,-2.833891213E-1,-2.268928103E-2
1.124155938E1,-4.171337001E-3,-2.834763825E-1,-2.368411794E-2
