"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.529265630E-1,-1.908657700E-2,9.671741486E0,3.755927682E-1
9.578906250E-1,-1.147971824E-1,9.698058128E0,5.024088621E-1
9.628531250E-1,-1.243644133E-1,9.714808464E0,6.148692966E-1
9.678171880E-1,-2.918627560E-1,9.700452805E0,6.411958933E-1
9.727796880E-1,-3.205740452E-1,9.690885544E0,7.823676467E-1
9.777421880E-1,-3.397180736E-1,9.669347763E0,8.182615638E-1
9.827062500E-1,-3.492948711E-1,9.693280220E0,7.895502448E-1
9.876687500E-1,-3.995443583E-1,9.631059647E0,7.416949272E-1
9.926328130E-1,-3.181893826E-1,9.638241768E0,6.723014116E-1
9.975953130E-1,-2.703245282E-1,9.645415306E0,6.220518947E-1
1.002557813E0,-2.535746992E-1,9.688490868E0,4.808706343E-1
1.007521875E0,-2.464016527E-1,9.609530449E0,4.497651756E-1
1.012484375E0,-2.272576243E-1,9.585598946E0,4.162654579E-1
1.017448438E0,-2.200750262E-1,9.585598946E0,5.646198392E-1
1.022410938E0,-2.129019946E-1,9.552098274E0,5.981194377E-1
1.027375000E0,-2.583630979E-1,9.566453934E0,6.459843516E-1
1.032337500E0,-2.679399252E-1,9.499455452E0,6.890512705E-1
1.037301563E0,-2.822955251E-1,9.497060776E0,6.483689547E-1
1.042264063E0,-2.392190546E-1,9.518598557E0,6.388017535E-1
1.047226563E0,-2.511900663E-1,9.504242897E0,6.483689547E-1
1.052190625E0,-1.770081222E-1,9.480310440E0,6.651188135E-1
1.057153125E0,-2.129019946E-1,9.468349457E0,6.268403530E-1
1.062117188E0,-1.889695525E-1,9.494675636E0,5.526583791E-1
1.067079688E0,-1.985463500E-1,9.432456017E0,6.005136967E-1
1.072042188E0,-2.200750262E-1,9.463561058E0,4.401979446E-1
1.077006250E0,-1.698351055E-1,9.444426537E0,3.995156586E-1
1.081968750E0,-1.626524776E-1,9.485099792E0,3.612371385E-1
1.086932813E0,-1.267586201E-1,9.446811676E0,3.301316798E-1
1.091895313E0,-1.076145768E-1,9.391782761E0,2.368056923E-1
1.096857813E0,-2.865380608E-2,9.382205963E0,1.865562052E-1
1.101821875E0,-7.650911063E-2,9.379811287E0,1.626333296E-1
1.106784375E0,-1.052203774E-1,9.401350975E0,1.458835006E-1
1.111748438E0,-1.004415527E-1,9.408533096E0,1.004128158E-1
1.116710938E0,-1.411142498E-1,9.415705681E0,1.602391303E-1
1.121673438E0,-1.171913818E-1,9.408533096E0,1.482776999E-1
1.126637500E0,-1.435084492E-1,9.422888756E0,1.028070226E-1
1.131601563E0,-1.889695525E-1,9.422888756E0,1.602391303E-1
1.136564063E0,-1.985463500E-1,9.408533096E0,1.698063612E-1
1.141526563E0,-1.411142498E-1,9.470744133E0,1.937388033E-1
1.146489063E0,-1.865849346E-1,9.341533661E0,2.224500775E-1
1.151453125E0,-2.248634249E-1,9.403743744E0,1.147780269E-1
1.156415625E0,-2.009405643E-1,9.463561058E0,1.793831587E-1
1.161379688E0,-2.846897244E-1,9.504242897E0,2.415941060E-1
1.166342188E0,-3.134010136E-1,9.537743568E0,2.200558633E-1
1.171306250E0,-4.067174196E-1,9.566453934E0,3.061992526E-1
1.176268750E0,-4.139000177E-1,9.638241768E0,4.186596870E-1
1.181232813E0,-3.947559893E-1,9.638241768E0,4.976204634E-1
1.186195313E0,-3.469006717E-1,9.686098099E0,4.713034034E-1
1.191159375E0,-3.277566135E-1,9.748308182E0,6.316191554E-1
1.196121875E0,-3.612563312E-1,9.803345680E0,5.861580372E-1
1.201084375E0,-2.583630979E-1,9.824884415E0,5.957348347E-1
1.206048438E0,-2.679399252E-1,9.894268990E0,6.483689547E-1
1.211012500E0,-2.009405643E-1,1.000195026E1,7.584447861E-1
1.215975000E0,-2.033347636E-1,1.004741096E1,7.871560454E-1
1.220937500E0,-1.985463500E-1,1.004741096E1,8.828666210E-1
1.225900000E0,-1.363354176E-1,1.009766006E1,8.828666210E-1
1.230864063E0,-1.530852467E-1,1.009288216E1,9.020106792E-1
1.235828125E0,-2.272576243E-1,1.009048748E1,9.283373356E-1
1.240789063E0,-2.511900663E-1,1.015509319E1,8.924434781E-1
1.245753125E0,-2.105077952E-1,1.008569908E1,7.799734473E-1
1.250717188E0,-2.368248552E-1,1.010005474E1,7.297335267E-1
1.255679688E0,-2.320460379E-1,1.008569908E1,7.321181893E-1
1.260642188E0,-2.511900663E-1,1.014073753E1,7.129837275E-1
1.265606250E0,-2.344402373E-1,1.010244942E1,6.435901523E-1
1.270570313E0,-2.559688985E-1,1.009048748E1,6.938396692E-1
1.275532813E0,-3.134010136E-1,1.010723686E1,6.579458117E-1
1.280495313E0,-3.253624141E-1,1.008809376E1,6.555515528E-1
1.285459375E0,-3.421122730E-1,1.010962200E1,7.488679886E-1
1.290421875E0,-2.296518236E-1,1.013355446E1,7.249451280E-1
1.295384375E0,-2.703245282E-1,1.008569908E1,6.675130129E-1
1.300348438E0,-2.368248552E-1,1.002109337E1,5.909464359E-1
1.305310938E0,-3.014395833E-1,1.001391125E1,5.837638378E-1
1.310275000E0,-2.799013257E-1,1.008569908E1,5.143703222E-1
1.315237500E0,-2.559688985E-1,1.001870060E1,4.378037155E-1
1.320200000E0,-2.822955251E-1,9.980412483E0,4.856590331E-1
1.325162500E0,-2.990453839E-1,9.920595169E0,5.981194377E-1
1.330126563E0,-2.464016527E-1,9.978017807E0,5.048030615E-1
1.335090625E0,-2.559688985E-1,9.942132950E0,5.502641797E-1
1.340053125E0,-1.770081222E-1,9.889489174E0,4.952358305E-1
1.345017188E0,-1.363354176E-1,9.908634186E0,4.880532324E-1
1.349979688E0,-2.296518236E-1,9.815307617E0,4.641303718E-1
1.354943750E0,-2.200750262E-1,9.760279655E0,4.784860015E-1
1.359906250E0,-1.865849346E-1,9.731558800E0,4.736976027E-1
1.364868750E0,-1.698351055E-1,9.729164124E0,4.784860015E-1
1.369831250E0,-2.344402373E-1,9.707635880E0,4.617361724E-1
1.374795313E0,-1.626524776E-1,9.662164688E0,5.000146627E-1
1.379757813E0,-1.506910622E-1,9.611914635E0,6.148692966E-1
1.384721875E0,-1.195855886E-1,9.626279831E0,4.760918021E-1
1.389684375E0,-1.602582783E-1,9.556886673E0,5.000146627E-1
1.394648438E0,-7.890331000E-2,9.528165817E0,5.048030615E-1
1.399612500E0,-1.746139228E-1,9.456387520E0,3.516603410E-1
1.404575000E0,-3.822103515E-2,9.513810158E0,2.894493937E-1
1.409539063E0,-1.459026486E-1,9.489887238E0,3.038050532E-1
