"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.513764063E0,-4.521880746E-1,9.793779373E0,4.832648337E-1
1.518728125E0,-4.808993638E-1,9.860768318E0,4.952358305E-1
1.523690625E0,-4.880723953E-1,9.911018372E0,6.076962948E-1
1.528653125E0,-5.143990517E-1,9.987594604E0,6.627342105E-1
1.533617188E0,-4.761109650E-1,9.882307053E0,6.196576953E-1
1.538581250E0,-4.330440462E-1,9.899056435E0,8.182615638E-1
1.543543750E0,-3.756119311E-1,9.920595169E0,8.445882201E-1
1.548506250E0,-3.157951832E-1,9.963662148E0,8.996165395E-1
1.553468750E0,-3.134010136E-1,9.944517136E0,1.019259572E0
1.558432813E0,-2.751129270E-1,1.000195026E1,1.019259572E0
1.563396875E0,-1.482968628E-1,1.002826691E1,1.074297428E0
1.568357813E0,-1.650466919E-1,1.005938148E1,1.081470490E0
1.573321875E0,-1.506910622E-1,1.000673866E1,1.062336087E0
1.578284375E0,-1.554698795E-1,9.994767189E0,1.040797710E0
1.583248438E0,-3.344221041E-2,1.007613182E1,1.047970772E0
1.588210938E0,-2.336740959E-3,1.008569908E1,9.426929951E-1
1.593175000E0,-9.804734588E-2,1.009766006E1,9.307219982E-1
1.598137500E0,-1.004415527E-1,1.010484314E1,8.326171637E-1
1.603100000E0,-1.147971824E-1,1.007851696E1,8.182615638E-1
1.608064063E0,-7.890331000E-2,1.009048748E1,7.488679886E-1
1.613026563E0,-9.325893968E-2,1.010484314E1,6.746956110E-1
1.617990625E0,-1.195855886E-1,1.005938148E1,5.502641797E-1
1.622953125E0,-2.081135809E-1,1.014312172E1,4.808706343E-1
1.627915625E0,-3.492948711E-1,1.005459404E1,6.124846935E-1
1.632879688E0,-3.660447001E-1,1.005459404E1,5.311201215E-1
1.637843750E0,-2.799013257E-1,1.007613182E1,5.215529203E-1
1.642806250E0,-2.248634249E-1,9.985199928E0,5.239470601E-1
1.647768750E0,-1.291528195E-1,1.004023838E1,4.306307137E-1
1.652732813E0,-1.190397050E-2,1.001630592E1,3.468815386E-1
1.657695313E0,6.705679744E-2,9.954094887E0,2.918435931E-1
1.662657813E0,1.962575018E-1,9.841633797E0,2.798821628E-1
1.667621875E0,3.302561939E-1,9.846412659E0,2.463825047E-1
1.672584375E0,4.403319955E-1,9.808135033E0,3.277374804E-1
1.677548438E0,5.695422888E-1,9.882307053E0,4.880532324E-1
1.682510938E0,5.097255707E-1,9.834450722E0,5.143703222E-1
1.687475000E0,3.876882792E-1,9.844018936E0,6.292344928E-1
1.692437500E0,3.398329914E-1,9.853595734E0,6.268403530E-1
1.697401563E0,3.565828204E-1,9.772240639E0,6.770898700E-1
1.702364063E0,4.331493974E-1,9.767452240E0,7.656177878E-1
1.707326563E0,5.575808883E-1,9.748308182E0,7.919444442E-1
1.712290625E0,5.527924299E-1,9.674136162E0,7.512621880E-1
1.717253125E0,5.623596907E-1,9.671741486E0,8.134731650E-1
1.722217188E0,5.575808883E-1,9.659780502E0,8.900492787E-1
1.727179688E0,5.910804868E-1,9.652597427E0,1.007298112E0
1.732142188E0,5.743306875E-1,9.616703987E0,1.081470490E0
1.737106250E0,4.953603148E-1,9.666953087E0,1.239401579E0
1.742068750E0,4.475050271E-1,9.650202751E0,1.268112898E0
1.747032813E0,4.044381380E-1,9.690885544E0,1.349467874E0
1.751995313E0,3.206889629E-1,9.690885544E0,1.375794411E0
1.756957813E0,3.661500514E-1,9.733952522E0,1.335112214E0
1.761921875E0,3.398329914E-1,9.719596863E0,1.387755871E0
1.766884375E0,4.259763658E-1,9.676529884E0,1.359044671E0
1.771848438E0,4.881873131E-1,9.714808464E0,1.193940520E0
1.776810938E0,4.044381380E-1,9.710029602E0,1.174796462E0
1.781775000E0,3.494002223E-1,9.695664406E0,1.165219545E0
1.786737500E0,2.847950757E-1,9.707635880E0,1.052759290E0
1.791700000E0,2.489012182E-1,9.736346245E0,8.948376179E-1
1.796664063E0,1.627578288E-1,9.798557281E0,8.780878186E-1
1.801628125E0,1.507963985E-1,9.851201057E0,8.780878186E-1
1.806590625E0,1.412291676E-1,9.796163559E0,9.139720798E-1
1.811553125E0,1.460079998E-1,9.867951393E0,9.690100551E-1
1.816515625E0,1.412291676E-1,9.865556717E0,9.929425120E-1
1.821479688E0,6.466259807E-2,9.975632668E0,9.139720798E-1
1.826443750E0,4.845864139E-3,9.927767754E0,8.637226820E-1
1.831406250E0,-8.129751682E-2,9.913412094E0,8.254441619E-1
1.836368750E0,-2.392190546E-1,9.836845398E0,8.206557035E-1
1.841332813E0,-2.990453839E-1,9.870346069E0,7.584447861E-1
1.846295313E0,-3.014395833E-1,9.927767754E0,7.943387032E-1
1.851259375E0,-2.631514966E-1,9.911018372E0,8.182615638E-1
1.856221875E0,-1.219702139E-1,9.949306488E0,9.091932774E-1
1.861184375E0,-7.115567569E-3,9.865556717E0,9.785868526E-1
1.866148438E0,5.988377333E-2,9.851201057E0,9.809715152E-1
1.871110938E0,1.484021842E-1,9.769846916E0,9.163663387E-1
1.876075000E0,1.890844703E-1,9.791384697E0,8.732994199E-1
1.881037500E0,2.465070039E-1,9.741134644E0,7.608389854E-1
1.886001563E0,2.225841433E-1,9.743529320E0,6.435901523E-1
1.890964063E0,2.010459006E-1,9.705241203E0,5.526583791E-1
1.895928125E0,1.077295020E-1,9.702846527E0,6.627342105E-1
1.900890625E0,1.077295020E-1,9.664558411E0,6.220518947E-1
1.905853125E0,2.297571748E-1,9.566453934E0,7.823676467E-1
1.910817188E0,2.895835042E-1,9.619097710E0,7.799734473E-1
1.915779688E0,2.847950757E-1,9.640635490E0,7.895502448E-1
1.920743750E0,3.230831623E-1,9.607136726E0,7.512621880E-1
1.925706250E0,2.991507351E-1,9.599953651E0,5.430911183E-1
1.930668750E0,2.177957445E-1,9.595166206E0,4.952358305E-1
1.935632813E0,2.512954175E-1,9.647809982E0,2.391999066E-1
1.940595313E0,2.680452466E-1,9.635848045E0,2.918435931E-1
