"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.387750000E-1,4.899139330E-2,2.484127134E-1,8.030259609E-2
8.437375000E-1,5.670574680E-2,2.195449620E-1,7.194247097E-2
8.487000000E-1,5.670574680E-2,2.195449620E-1,7.194247097E-2
8.536640630E-1,4.820599407E-2,2.031039596E-1,6.635741889E-2
8.586265630E-1,4.820599407E-2,2.031039596E-1,6.635741889E-2
8.635906250E-1,3.837978840E-2,1.829105020E-1,6.229080260E-2
8.685531250E-1,3.837978840E-2,1.829105020E-1,6.229080260E-2
8.735171880E-1,3.265510872E-2,1.608844548E-1,5.969025940E-2
8.784796880E-1,3.265510872E-2,1.608844548E-1,5.969025940E-2
8.834421880E-1,2.918190509E-2,1.412494928E-1,5.820672959E-2
8.884062500E-1,2.918190509E-2,1.412494928E-1,5.820672959E-2
8.933687500E-1,2.731440216E-2,1.197295859E-1,5.393067375E-2
8.983328130E-1,2.731440216E-2,1.197295859E-1,5.393067375E-2
9.032953130E-1,2.612757869E-2,1.095368639E-1,5.133013427E-2
9.082593750E-1,2.612757869E-2,1.095368639E-1,5.133013427E-2
9.132218750E-1,2.719222941E-2,1.151219159E-1,4.780456796E-2
9.181843750E-1,2.719222941E-2,1.151219159E-1,4.780456796E-2
9.231484380E-1,3.150319308E-2,1.074075624E-1,4.324925691E-2
9.281109380E-1,3.150319308E-2,1.074075624E-1,4.324925691E-2
9.330750000E-1,4.436627030E-2,9.955357760E-2,3.850196302E-2
9.380375000E-1,4.436627030E-2,9.955357760E-2,3.850196302E-2
9.430015630E-1,5.771803856E-2,9.368927032E-2,3.471459821E-2
9.479640630E-1,5.771803856E-2,9.368927032E-2,3.471459821E-2
9.529265630E-1,5.934119597E-2,8.787732571E-2,3.174753860E-2
9.578906250E-1,5.934119597E-2,8.787732571E-2,3.174753860E-2
9.628531250E-1,4.941027239E-2,7.476990670E-2,2.816961333E-2
9.678171880E-1,4.941027239E-2,7.476990670E-2,2.816961333E-2
9.727796880E-1,5.487314984E-2,4.968952388E-2,2.008873969E-2
