"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.491431000E0,-1.913807541E-2,-1.801380701E-2,1.737970673E-2
1.501460000E0,-1.588677615E-2,-5.212338641E-3,1.092917379E-2
1.511451000E0,-1.904581860E-2,1.155009377E-3,5.515499972E-3
1.521461000E0,-2.327230200E-2,2.185339341E-3,1.175857848E-3
1.531490000E0,-3.068795241E-2,-6.556343124E-6,-4.258066416E-3
1.541499000E0,-3.816975281E-2,-4.571712634E-5,-4.357836209E-3
1.551509000E0,-4.139803350E-2,-4.319828469E-3,-1.172696007E-3
1.561518000E0,-3.606520966E-2,-2.348530665E-2,3.262628801E-3
1.571539000E0,-3.298067674E-2,-3.302769735E-2,1.616993733E-2
1.581549000E0,-2.771073394E-2,-3.937619552E-2,2.374375798E-2
1.591539000E0,-1.600418799E-2,-4.783254117E-2,2.926982939E-2
1.601567000E0,-1.069828309E-2,-3.819569200E-2,3.034569137E-2
1.611577000E0,-1.922226325E-2,-2.118501626E-2,2.481084317E-2
1.621567000E0,-2.343372814E-2,-1.482616458E-2,1.830631495E-2
1.631596000E0,-3.287769109E-2,-2.025630884E-2,5.393227097E-3
1.641606000E0,-4.765610769E-2,-2.358413115E-2,-8.667382412E-3
1.651597000E0,-5.399664864E-2,-3.536679223E-2,-1.190213673E-2
1.661625000E0,-4.353850335E-2,-3.417595848E-2,7.446058095E-3
1.671635000E0,-2.777525224E-2,-2.441707253E-2,2.789753675E-2
1.681636000E0,-2.247095667E-2,-1.904528402E-2,3.006798588E-2
1.691643000E0,-2.017582767E-2,-2.654424496E-2,1.838084124E-2
1.701653000E0,-2.756743506E-2,-1.594521478E-2,8.611693978E-3
1.711652000E0,-3.185634315E-2,-5.299445242E-3,7.423871662E-3
1.721683000E0,-3.294073418E-2,-5.301001947E-3,8.469528519E-3
1.731693000E0,-3.187973052E-2,-1.702263951E-2,1.174628269E-2
1.741690000E0,-2.871982940E-2,-3.405386209E-2,1.935224421E-2
1.751712000E0,-2.874211967E-2,-4.150858149E-2,2.366835624E-2
1.761722000E0,-2.452060580E-2,-4.466858134E-2,2.907640859E-2
1.771703000E0,-2.032742836E-2,-3.289227933E-2,3.333636373E-2
1.781711000E0,-1.178608835E-2,-2.111564018E-2,3.123958036E-2
1.791721000E0,-8.458822034E-3,-1.260586735E-2,1.840834506E-2
1.801731000E0,-3.034521826E-3,-3.006379353E-3,8.802113123E-3
1.811740000E0,-1.049326081E-2,5.481060594E-3,5.447710399E-3
1.821750000E0,-2.218354307E-2,1.713226922E-2,-2.245438518E-3
1.831760000E0,-2.969604544E-2,1.817165688E-2,8.578913985E-4
1.841769000E0,-2.127045020E-2,8.656987920E-3,1.383979619E-2
1.851779000E0,-6.337839179E-3,-1.898395829E-2,2.164578810E-2
1.861789000E0,4.386514891E-3,-2.960311063E-2,2.078324556E-2
1.871797000E0,-8.731264388E-4,-4.138420150E-2,1.650125161E-2
1.881807000E0,-1.040351484E-2,-4.892307892E-2,1.107532624E-2
1.891847000E0,-1.787201501E-2,-5.642804131E-2,1.208068989E-2
1.901856000E0,-2.428212203E-2,-6.179326028E-2,1.308695320E-2
1.911866000E0,-1.895019412E-2,-6.922745705E-2,1.532300748E-2
1.921846000E0,-1.032969076E-2,-7.560390234E-2,1.012552064E-2
1.931855000E0,-1.133743674E-2,-8.202321827E-2,6.945485715E-3
1.941865000E0,-8.984070271E-3,-1.055374965E-1,-6.788325962E-3
1.951875000E0,-1.834381931E-2,-1.429857612E-1,-2.060757205E-2
1.961915000E0,-2.371015772E-2,-1.536699831E-1,-1.635580696E-2
1.971925000E0,-4.214402288E-2,-1.120911166E-1,-7.715210668E-4
1.981904000E0,-4.341454431E-2,-8.964166790E-2,1.191022433E-2
1.991943000E0,-3.492117673E-2,-7.465272397E-2,1.300455071E-2
2.001953000E0,-2.535883151E-2,-5.112928897E-2,1.194141712E-2
2.011964000E0,-1.467085630E-2,-2.648645639E-2,7.590832189E-3
2.021955000E0,-1.901131123E-3,-4.013035446E-3,6.571501959E-3
2.031965000E0,1.291200519E-3,1.946565881E-2,2.222293755E-3
2.041962000E0,-4.081049468E-3,3.331080452E-2,2.080991166E-3
2.052002000E0,-2.123675682E-2,4.284521565E-2,6.073047873E-3
2.062012000E0,-1.809303463E-2,2.475462481E-2,1.581770554E-2
2.071991000E0,-7.471985649E-3,3.041752498E-4,2.675890364E-2
2.082027000E0,-1.170808263E-2,-7.191474084E-3,2.567328885E-2
2.092037000E0,-2.339209616E-2,8.724461310E-3,1.689711958E-2
2.102019000E0,-2.857288532E-2,1.931233518E-2,7.519479259E-4
2.112056000E0,-2.954086475E-2,3.313881159E-2,-1.108414587E-2
2.122066000E0,-2.635918558E-2,5.128931999E-2,-1.327033434E-2
2.132079000E0,-1.249093749E-2,5.243336409E-2,-1.203338057E-2
