"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.074601562E0,9.499999881E-2,1.470499992E0,3.118000031E-1
2.084526562E0,1.224999949E-1,1.443699956E0,3.064000010E-1
2.094453125E0,1.730999947E-1,1.446699977E0,2.058999985E-1
2.104379687E0,2.011999935E-1,1.490599990E0,2.340999991E-1
2.114306250E0,1.528999954E-1,1.318400025E0,1.723999977E-1
2.124231250E0,1.085999981E-1,1.230499983E0,1.265999973E-1
2.134159375E0,1.114999950E-1,1.184099913E0,2.317999899E-1
2.144084375E0,4.479999840E-2,1.071099997E0,2.289000005E-1
2.154010937E0,-4.659999907E-2,9.916999936E-1,6.809999794E-2
2.163937500E0,-2.239999920E-2,7.883999944E-1,-1.975999922E-1
2.173864062E0,-1.666999906E-1,6.313999891E-1,-2.771999836E-1
2.183790625E0,-1.847999990E-1,5.487999916E-1,-2.728999853E-1
2.193715625E0,-1.359999925E-1,4.587000012E-1,-8.559999615E-2
2.203642187E0,-1.004000008E-1,2.947999835E-1,2.730000019E-2
2.213568750E0,-4.999999655E-4,2.327999920E-1,-1.789999940E-2
2.223495312E0,-8.769999444E-2,2.134999931E-1,6.059999764E-2
2.233421875E0,-1.193999946E-1,1.361999959E-1,-1.730000041E-2
2.243348437E0,-1.499999966E-2,1.854999959E-1,1.200000010E-2
2.253275000E0,-2.799999900E-3,9.609999508E-2,-2.850000001E-2
2.263201562E0,-2.009999938E-2,-1.999999949E-4,3.489999846E-2
2.273126562E0,-1.391000003E-1,-3.039999865E-2,-5.119999871E-2
2.283053125E0,-2.254000008E-1,5.849999934E-2,-3.269999847E-2
2.292979687E0,-6.250000000E-2,1.217999980E-1,2.098999918E-1
2.302906250E0,3.208999932E-1,-4.539999738E-2,-3.350000083E-2
2.312832812E0,4.298000038E-1,-1.524000019E-1,-3.716999888E-1
2.322759375E0,-9.699999541E-2,-1.890999973E-1,-4.636999965E-1
2.332685937E0,1.789999902E-1,-1.445000023E-1,-9.679999948E-2
2.342610937E0,1.541000009E-1,-5.119999871E-2,3.029999882E-2
2.352539062E0,1.008000001E-1,1.359999925E-2,-1.499999911E-1
2.362465625E0,1.460999995E-1,-5.480000004E-2,5.049999803E-2
2.372390625E0,-6.929999590E-2,4.679999873E-2,1.456999928E-1
2.382317187E0,-2.072999924E-1,2.351999879E-1,3.409999907E-1
2.392243750E0,-2.419999987E-2,2.696000040E-1,4.569000006E-1
2.402168750E0,1.310999990E-1,1.110999957E-1,1.363999993E-1
2.412095312E0,1.766999960E-1,6.449999660E-2,-2.008000016E-1
2.422021875E0,1.283999979E-1,1.123999953E-1,-3.025999963E-1
2.431948437E0,6.999999750E-3,8.829999715E-2,-2.983999848E-1
2.441875000E0,-1.270999908E-1,1.298999935E-1,-1.999000013E-1
2.451801562E0,-1.941999942E-1,1.339000016E-1,-1.500999928E-1
2.461726562E0,-3.048000038E-1,2.195999920E-1,5.240000039E-2
2.471653125E0,-3.046000004E-1,2.978000045E-1,1.181999967E-1
2.481579687E0,-2.451999933E-1,3.969999850E-1,-1.150000002E-2
2.491506250E0,-1.430999935E-1,3.698000014E-1,-2.979999967E-2
2.501432812E0,-1.740000024E-2,3.917999864E-1,-4.360000044E-2
2.511359375E0,5.519999936E-2,4.109999835E-1,-9.690000117E-2
2.521285937E0,4.900000058E-3,4.977999926E-1,-1.598999947E-1
2.531210937E0,-7.319999486E-2,6.341999769E-1,-1.837999970E-1
2.541137500E0,-1.446999907E-1,6.442999840E-1,-4.419999942E-2
2.551064062E0,-5.379999802E-2,7.231000066E-1,4.799999762E-3
2.560992187E0,1.439999938E-1,8.499000072E-1,1.305000037E-1
2.570917187E0,1.982000023E-1,7.799999714E-1,1.829999983E-1
2.580843750E0,2.763999999E-1,8.470999599E-1,2.412000000E-1
2.590770312E0,3.003000021E-1,7.580999732E-1,1.788000017E-1
2.600695312E0,2.462999970E-1,7.899000049E-1,2.442999929E-1
2.610623437E0,8.959999681E-2,6.877999902E-1,3.890999854E-1
2.620550000E0,-3.419999778E-2,7.439999580E-1,3.340999782E-1
2.630475000E0,-9.399999864E-3,6.624999642E-1,2.355999947E-1
2.640401562E0,5.909999833E-2,5.496000051E-1,-1.379999984E-2
2.650328125E0,7.090000063E-2,3.567999899E-1,-1.779999956E-2
2.660253125E0,-9.229999781E-2,4.342999756E-1,8.599999361E-3
2.670179687E0,-9.939999878E-2,6.089000106E-1,3.049999848E-2
2.680106250E0,-1.014999971E-1,4.023999870E-1,1.301999986E-1
2.690032812E0,-8.259999752E-2,3.355000019E-1,8.119999617E-2
2.699959375E0,-4.779999703E-2,2.470999956E-1,-1.840000041E-2
2.709885937E0,-5.299999844E-3,8.659999818E-2,-2.179999948E-1
2.719812500E0,4.339999706E-2,3.469999880E-2,-1.589999944E-1
2.729739062E0,8.469999582E-2,-1.030000020E-2,-2.074999958E-1
2.739664062E0,9.250000119E-2,-1.699999906E-2,-2.619000077E-1
2.749590625E0,-5.289999768E-2,-5.260000005E-2,-3.217000067E-1
2.759517187E0,-2.352999896E-1,6.169999763E-2,-2.373999953E-1
2.769443750E0,-2.529999912E-1,5.009999871E-2,-6.659999490E-2
2.779370312E0,-1.630999893E-1,1.383000016E-1,-3.309999779E-2
2.789295312E0,-1.231999993E-1,1.692000031E-1,-2.719999850E-2
2.799223437E0,-2.879999951E-2,1.413999945E-1,-3.900000080E-2
2.809148437E0,7.039999962E-2,1.906999946E-1,1.695999950E-1
2.819075000E0,-1.399999950E-3,2.893999815E-1,3.125000000E-1
2.829001562E0,1.077999994E-1,3.483999968E-1,1.220999956E-1
2.838928125E0,1.394999921E-1,4.071999788E-1,4.619999975E-2
2.848854687E0,2.589999884E-2,3.789999783E-1,1.030000020E-2
2.858779687E0,1.127999946E-1,5.069000125E-1,5.859999731E-2
2.868706250E0,1.150999963E-1,5.356000066E-1,1.013999954E-1
2.878632812E0,1.788000017E-1,4.878000021E-1,1.413999945E-1
2.888559375E0,2.827000022E-1,3.646999896E-1,3.043999970E-1
2.898485937E0,1.537999958E-1,4.380999804E-1,1.475999951E-1
2.908412500E0,7.209999859E-2,4.341000021E-1,1.799999923E-1
2.918339062E0,7.050000131E-2,4.398999810E-1,8.760000020E-2
